"channelID","title","publishedAt","country","views","subscribers","videos"
"UCq-Fj5jknLsUf-MWSy4_brA","T-Series","2006-03-13T14:27:05Z","India","189980482226","215000000","189980482226"
"UCbCmjCuTUZos6Inko4u57UQ","Cocomelon - Nursery Rhymes","2006-09-01T22:18:49Z","United States of America","128390102451","135000000","128390102451"
"UCpEhnqL0y41EpW2TvWAHD7Q","SET India","2006-09-20T22:24:59Z","India","101785515835","132000000","101785515835"
"UC-lHJZR3Gqxm24_Vd_AJ5Yw","PewDiePie","2010-04-29T10:54:00Z","United States of America","28289961025","111000000","28289961025"
"UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast","2012-02-20T00:43:50Z","United States of America","15593798621","94900000","15593798621"
"UCk8GzjMOrta8yxDcKfylJYw","✿ Kids Diana Show","2015-05-12T08:26:57Z","United States of America","74306702248","94800000","74306702248"
"UCJplp5SjeGSdVdwsfb9Q7lQ","Like Nastya","2016-12-06T12:15:52Z","United States of America","75430997493","92600000","75430997493"
"UCFFbwnve3yF62-tVXkTyHqg","Zee Music Company","2014-03-12T11:59:25Z","India","46664350690","83700000","46664350690"
"UCvlE5gTbOvjiolFlEm-c_Ow","Vlad and Niki","2018-04-23T13:58:18Z","United States of America","62976772747","81400000","62976772747"
"UC295-Dw_tDNtZXFeAPAW6Aw","5-Minute Crafts","2016-11-15T09:25:37Z","United States of America","23326543245","76500000","23326543245"
"UCOmHUn--16B90oW2L6FRR3A","BLACKPINK","2016-06-29T03:15:23Z","Republic of Korea","23561381122","74000000","23561381122"
"UCyoXW-Dse7fURq30EWl_CUA","Goldmines","2012-01-21T08:42:21Z","India","16584880251","69500000","16584880251"
"UCIwFjwMjI0y7PDBVEO9-bkQ","Justin Bieber","2007-01-15T21:17:27Z","Canada","27876618782","68700000","27876618782"
"UC6-F5tO8uklgE9Zy8IvbdFw","Sony SAB","2007-08-04T16:05:01Z","India","76824138209","66700000","76824138209"
"UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","2012-12-17T03:20:38Z",,"16038770400","66100000","16038770400"
"UCffDXn7ycAzwL2LDlbyWOTw","Canal KondZilla","2012-03-21T23:40:47Z","Brazil","36208980162","65600000","36208980162"
"UC3IZKseVpdzPSBaWxBxundA","HYBE LABELS","2008-06-04T08:23:22Z","Republic of Korea","22483788478","65300000","22483788478"
"UCppHT7SZKKvar4Oc9J4oljQ","Zee TV","2005-12-11T06:23:26Z","India","16111773340","62100000","16111773340"
"UCP6uH_XlsxrXwZQ4DlqbqPg","Shemaroo Filmi Gaane","2010-06-11T05:33:27Z","India","27829102677","59700000","27829102677"
"UCRijo3ddMTht_IHyNSNXpNQ","Dude Perfect","2009-03-17T05:44:36Z","United States of America","14276858428","57400000","14276858428"
"UCcdwLMPsaU2ezNSJU1nFoBQ","Pinkfong Baby Shark - Kids' Songs &amp; Stories","2011-12-14T04:54:24Z","United States of America","30419859796","57400000","30419859796"
"UC3gNmTGu-TTbFPpfSs5kNkg","Movieclips","2006-04-28T00:02:37Z","United States of America","57597405004","56800000","57597405004"
"UCBnZ16ahKA2DZ_T5W0FPUXg","ChuChu TV Nursery Rhymes &amp; Kids Songs","2013-02-09T07:51:48Z","India","37747825812","56000000","37747825812"
"UCEdvpU2pFRCVqU6yIPyTpMQ","Marshmello","2015-04-06T21:21:50Z","United States of America","13038804288","55200000","13038804288"
"UC55IWqFLDH1Xp7iu1_xknRA","Colors TV","2008-06-13T11:09:32Z","India","49379491698","52400000","49379491698"
"UC22nIfOTM7KLIQuFGMKzQbg","Wave Music","2014-10-29T06:45:10Z","India","36209187734","52000000","36209187734"
"UCfM3zsQsOnfWNUppiycmBuw","EminemMusic","2007-02-09T00:01:36Z",,"22884045189","51900000","22884045189"
"UC0C-w0YjGpqDXGB8IHb662A","Ed Sheeran","2006-08-08T13:59:50Z",,"27159027772","51700000","27159027772"
"UC9CoOnJkIBMdeijd9qYoT_g","Ariana Grande","2007-01-22T01:53:12Z",,"21647177902","51200000","21647177902"
"UCt4t-jeY85JegMlZ-E5UWtA","Aaj Tak","2009-08-27T11:54:24Z","India","18427392159","51200000","18427392159"
"UC56gTxNs4f9xZ7Pa2i5xNzg","Sony Music India","2009-09-02T23:16:22Z","India","23723024363","50800000","23723024363"
"UCJrDMFOdv1I2k8n9oK_V21w","Tips Official","2007-05-22T10:13:28Z","India","26335685642","50700000","26335685642"
"UCaayLD9i5x4MmIoVZxXSv_g","T-Series Bhakti Sagar","2011-02-13T18:21:00Z","India","23009115706","50200000","23009115706"
"UCK1i2UviaXLUNrZlAFpw_jA","El Reino Infantil","2011-06-02T16:20:07Z",,"47665018638","49700000","47665018638"
"UC4NALVCmcmL5ntpV0thoH6w","LooLoo Kids - Nursery Rhymes and Children's Songs","2014-08-05T20:15:33Z","United States of America","28249205430","49100000","28249205430"
"UCqECaJ8Gagnn7YCbPEzWH6g","Taylor Swift","2006-09-20T21:05:35Z",,"24839759900","46300000","24839759900"
"UCbTLwN10NoCU4WDzLf1JMOA","YRF","2006-06-07T23:07:50Z","India","27549770860","45700000","27549770860"
"UCYiGq8XF7YQD00x7wAd62Zg","JuegaGerman","2013-05-19T00:09:13Z","Chile","13454605219","45600000","13454605219"
"UCYWOjHweP2V-8kGKmmAmQJQ","Badabun","2014-10-14T00:15:54Z","Mexico","18410482318","45500000","18410482318"
"UCiGm_E4ZwYSHV3bcW1pnSeQ","Billie Eilish","2013-02-06T23:21:04Z","United States of America","11503861307","45400000","11503861307"
"UCV4xOVpbcV8SdueDCOxLXtQ","Fernanfloo","2011-05-02T05:32:42Z","El Salvador","9863517426","44900000","9863517426"
"UCV306eHqgo0LvBf3Mh36AHg","Felipe Neto","2006-05-16T06:56:06Z","Brazil","14974241669","44000000","14974241669"
"UC3KQ5GWANYF8lChqjZpXsQw","whinderssonnunes","2013-01-21T13:06:10Z",,"4067386198","43700000","4067386198"
"UC4rlAVgAK0SGk-yTfe48Qpw","BRIGHT SIDE","2017-03-15T11:17:50Z",,"9826146422","43400000","9826146422"
"UC1ciY6kR3yj3kaKZ6R7ewAg","Infobells - Hindi","2014-06-06T15:24:36Z","India","24121219151","43300000","24121219151"
"UCZJ7m7EnCNodqnu5SAtg8eQ","HolaSoyGerman.","2011-09-08T20:25:54Z","Chile","4706851962","43300000","4706851962"
"UCYvmuw-JtVrTZQ-7Y4kd63Q","Katy Perry","2008-06-01T19:58:36Z","United States of America","23550156435","42800000","23550156435"
"UCj0O6W8yDuLg3iraAXKgCrQ","Voc&ecirc; Sabia?","2013-09-01T23:31:56Z","Brazil","7090908964","42700000","7090908964"
"UCJrOtniJ0-NWz37R30urifQ","Alan Walker","2012-08-25T20:55:38Z","Norway","11418202267","41800000","11418202267"
"UC3MLnJtqc_phABBriLRhtgQ","SonyMusicIndiaVEVO","2009-09-02T23:38:43Z",,"22915304262","41500000","22915304262"
"UCS94J1s6-qc8v7btCdS2pNg","Like Nastya Show","2017-11-14T14:56:43Z","United States of America","18530371521","41100000","18530371521"
"UCXazgXDIYyWH-yXLAkcrFxw","elrubiusOMG","2011-12-20T00:48:42Z",,"7435242226","40400000","7435242226"
"UCOsyDsO5tIt-VZ1iwjdQmew","Speed Records","2012-11-22T10:36:15Z","India","23864422187","40200000","23864422187"
"UC2tsySbe9TNrI-xh2lximHA","A4","2014-11-29T10:59:53Z","Belarus","14760516301","39600000","14760516301"
"UClZkHt2kNIgyrTTPnSQV3SA","Get Movies","2006-12-16T19:24:29Z","Russia","28049932712","39400000","28049932712"
"UCmBA_wu8xGg1OfOkfW13Q0Q","Bad Bunny","2014-06-09T02:50:42Z","Puerto Rico","19693402120","39300000","19693402120"
"UCstEtN0pgOmCf02EdXsGChw","ABS-CBN Entertainment","2008-07-16T02:11:59Z","Philippines","46379936490","39300000","46379936490"
"UCcgqSM4YEo5vVQpqwN-MaNw","Rihanna","2005-11-06T16:14:28Z",,"19595938194","39100000","19595938194"
"UCKAqou7V9FAWXpZd9xtOg3Q","Little Baby Bum - Nursery Rhymes &amp; Kids Songs","2011-06-22T13:34:20Z","United States of America","36126229837","38700000","36126229837"
"UCECJDeK0MNapZbpaOzxrUPA","Luisito Comunica","2012-04-15T04:13:36Z","Mexico","7391173495","38600000","7391173495"
"UCp0hYYBW6IMayGgR-WeoCvQ","TheEllenShow","2006-11-21T04:53:43Z","United States of America","22077611658","38200000","22077611658"
"UCNUQK9mQoqi4yNXw2_Rj6SA","GR6 EXPLODE","2014-08-05T05:21:03Z","Brazil","23376166049","37200000","23376166049"
"UC_gV70G_Y51LTa3qhu8KiEA","LUCCAS NETO - LUCCAS TOON","2014-07-31T04:07:52Z","Brazil","19843179205","37200000","19843179205"
"UCb2HGwORFBo94DmRx4oLzow","One Direction","2010-12-03T11:45:50Z",,"12443576701","37100000","12443576701"
"UCM9r1xn6s30OnlJWb-jc3Sw","XXXTENTACION","2015-06-23T01:27:37Z","United States of America","9493368447","36900000","9493368447"
"UCWi_65E_L8tQZ34C6wVAlpQ","Ishtar Music","2005-09-22T06:32:31Z","India","14333610902","36800000","14333610902"
"UCJg19noZp7-BYIGvypu_cow","Voot Kids","2016-11-23T06:14:05Z",,"16333151741","36700000","16333151741"
"UCQZfFRohQ7UX-0CdXl-6pwQ","Kimberly Loaiza","2016-11-16T03:28:16Z","Mexico","4038395175","36400000","4038395175"
"UC3ZkCd7XtUREnjjt3cyY_gg","WorkpointOfficial","2012-11-05T04:27:20Z","Thailand","32911919323","36300000","32911919323"
"UC9TO_oo4c_LrOiKNaY6aysA","Daddy Yankee","2011-05-16T22:30:49Z","United States of America","19720824035","36300000","19720824035"
"UCF1JIbMUs6uqoZEY1Haw0GQ","Shemaroo","2007-09-01T11:44:51Z","India","19604320773","36300000","19604320773"
"UCBVjMGOIkavEAhyqpxJ73Dw","Maroon 5","2006-03-09T03:19:51Z",,"20323930314","35700000","20323930314"
"UCYLNGLIzMhRTi6ZOLjAPSmw","Shakira","2005-10-16T09:08:20Z",,"22708487029","35700000","22708487029"
"UCgFXm4TI8htWmCyJ6cVPG_A","Toys and Colors","2016-03-17T20:35:54Z","United States of America","38789944108","35600000","38789944108"
"UCj22tfcQrWG7EMEKS0qLeEg","CarryMinati","2014-10-30T11:26:23Z","India","2880353721","35600000","2880353721"
"UCwHE1kM1CPJd_pI9FQ0-4dg","shfa","2015-03-29T08:55:45Z","United Arab Emirates","18355854318","35200000","18355854318"
"UCQ7x25F6YXY9DvGeHFxLhRQ","shfa2 - شفا","2017-11-06T23:18:50Z","United Arab Emirates","19862290171","35000000","19862290171"
"UCjIA3wwhi0QjSOXAZwOXbPA","Ozuna","2016-03-24T19:55:58Z","Puerto Rico","20574516516","34900000","20574516516"
"UCoUM-UJ7rirJYP8CQ0EIaHA","Bruno Mars","2006-09-19T01:34:43Z",,"16836570399","34800000","16836570399"
"UC5tuYcCdiKuF5Y2ZonuarwA","Jkk Entertainment","2017-03-20T12:55:35Z","India","14529523732","34700000","14529523732"
"UCsT0YIqwnpJCM-mx7-gSA4Q","TEDx Talks","2009-06-23T16:00:48Z",,"6397418083","34700000","6397418083"
"UCLsooMJoIpl_7ux2jvdPB-Q","Super Simple Songs - Kids Songs","2006-09-08T08:50:54Z","Canada","35536619981","34100000","35536619981"
"UC8f7MkX4MFOOJ2SerXLInCA","one31","2013-01-10T12:27:39Z","Thailand","26419960553","33600000","26419960553"
"UCu59yAFE8fM0sVNTipR4edw","Masha and The Bear","2014-09-17T12:56:19Z","United States of America","18183032537","33500000","18183032537"
"UCt-k6JwNWHMXDBGm9IYHdsg","J Balvin","2011-02-18T17:37:59Z","Colombia","20992696435","33300000","20992696435"
"UCBR8-60-B28hp2BmDPdntcQ","YouTube","1970-01-01T00:00:00Z","United States of America","2658318639","33000000","2658318639"
"UCam8T03EOFBsNdR0thrFHdQ","VEGETTA777","2008-03-02T19:25:21Z",,"14754671508","33000000","14754671508"
"UCtW7qWjpCZ8zps-Cf2NF26w","Goldmines Gaane Sune Ansune","2015-08-24T08:17:50Z","India","13563132697","33000000","13563132697"
"UCpEJRZdSpdVZ8vh63T9I2KQ","Like Nastya ESP","2017-04-22T16:42:23Z","United States of America","15273496470","32800000","15273496470"
"UC7_YxT-KID8kRbqZo7MyscQ","Markiplier","2012-05-26T20:30:52Z","United States of America","18105708078","32700000","18105708078"
"UCRWFSbif-RFENbBrSiez1DA","ABP NEWS","2012-06-01T10:23:46Z","India","9931262609","32400000","9931262609"
"UChGJGhZ9SOOHvBB0Y4DOO_w","Ryan's World","2015-03-17T00:18:47Z","United States of America","51501457713","32400000","51501457713"
"UCLtNvbkqea8wN_kGtfgx_Mw","Desi Music Factory","2014-10-06T12:19:01Z","India","9170989132","32300000","9170989132"
"UC_aEa8K-EOJ3D6gOs7HcyNg","NoCopyrightSounds","2011-08-14T20:13:26Z","United Kingdom","10160171513","32300000","10160171513"
"UC5c9VlYTSvBSCaoMu_GI6gQ","Total Gaming","2018-10-09T18:21:53Z","India","5732117227","32200000","5732117227"
"UClZF7OsrECe3t_ADrjZEh_Q","Geet MP3","2016-10-22T03:37:32Z","India","11153933984","32200000","11153933984"
"UCKe6w0exI94U-RzqAyoY1VA","Maria Clara &amp; JP","2015-09-06T02:20:01Z","Brazil","19158045679","32100000","19158045679"
"UCHkj014U2CQ2Nv0UZeYpE_A","JustinBieberVEVO","2009-09-26T03:46:15Z","United States of America","24867631139","31900000","24867631139"
"UCmL1WlDI8UkXDXCXcBQN9CA","Ultra Bollywood","2009-10-21T12:28:20Z","India","14864401427","31900000","14864401427"
"UCcvNYxWXR_5TjVK7cSCdW-g","T-Series Apna Punjab","2011-09-26T11:44:33Z","India","18386260075","31600000","18386260075"
